Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Precious Achiuwa,PF,2711280.00 ,21.00 ,MIA,61.00 ,4.00 ,12.10 ,2.00 ,3.70 ,0.54 ,0.00 ,0.00 ,0.00 ,2.00 ,3.70 ,0.55 ,0.54 ,0.90 ,1.80 ,0.51 ,1.20 ,2.20 ,3.40 ,0.50 ,0.30 ,0.50 ,0.70 ,1.50 ,5.00 ,5.60 
Jaylen Adams,PG,#N/A,24.00 ,MIL,7.00 ,0.00 ,2.60 ,0.10 ,1.10 ,0.13 ,0.00 ,0.30 ,0.00 ,0.10 ,0.90 ,0.17 ,0.13 ,0.00 ,0.00 ,,0.00 ,0.40 ,0.40 ,0.30 ,0.00 ,0.00 ,0.00 ,0.10 ,0.30 ,-0.10 
Steven Adams,C,17073171.00 ,27.00 ,NOP,58.00 ,58.00 ,27.70 ,3.30 ,5.30 ,0.61 ,0.00 ,0.10 ,0.00 ,3.30 ,5.30 ,0.62 ,0.61 ,1.00 ,2.30 ,0.44 ,3.70 ,5.20 ,8.90 ,1.90 ,0.90 ,0.70 ,1.30 ,1.90 ,7.60 ,14.80 
Bam Adebayo,C,28103550.00 ,23.00 ,MIA,64.00 ,64.00 ,33.50 ,7.10 ,12.50 ,0.57 ,0.00 ,0.10 ,0.25 ,7.10 ,12.40 ,0.57 ,0.57 ,4.40 ,5.50 ,0.80 ,2.20 ,6.70 ,9.00 ,5.40 ,1.20 ,1.00 ,2.60 ,2.30 ,18.70 ,26.50 
LaMarcus Aldridge,C,2641691.00 ,35.00 ,TOT,26.00 ,23.00 ,25.90 ,5.40 ,11.40 ,0.47 ,1.20 ,3.10 ,0.39 ,4.20 ,8.30 ,0.51 ,0.53 ,1.60 ,1.80 ,0.87 ,0.70 ,3.80 ,4.50 ,1.90 ,0.40 ,1.10 ,1.00 ,1.80 ,13.50 ,13.40 
LaMarcus Aldridge,C,2641691.00 ,35.00 ,SAS,21.00 ,18.00 ,25.90 ,5.50 ,11.80 ,0.46 ,1.30 ,3.60 ,0.36 ,4.20 ,8.20 ,0.51 ,0.52 ,1.50 ,1.80 ,0.84 ,0.80 ,3.70 ,4.50 ,1.70 ,0.40 ,0.90 ,1.00 ,1.70 ,13.70 ,12.90 
LaMarcus Aldridge,C,2641691.00 ,35.00 ,BRK,5.00 ,5.00 ,26.00 ,5.00 ,9.60 ,0.52 ,0.80 ,1.00 ,0.80 ,4.20 ,8.60 ,0.49 ,0.56 ,2.00 ,2.00 ,1.00 ,0.40 ,4.40 ,4.80 ,2.60 ,0.60 ,2.20 ,1.40 ,2.20 ,12.80 ,16.20 
Ty-Shon Alexander,SG,#N/A,22.00 ,PHO,15.00 ,0.00 ,3.10 ,0.20 ,0.80 ,0.25 ,0.10 ,0.60 ,0.22 ,0.10 ,0.20 ,0.33 ,0.33 ,0.10 ,0.10 ,0.50 ,0.10 ,0.50 ,0.70 ,0.40 ,0.00 ,0.10 ,0.20 ,0.10 ,0.60 ,1.10 
Nickeil Alexander-Walker,SG,3261480.00 ,22.00 ,NOP,46.00 ,13.00 ,21.90 ,4.20 ,10.00 ,0.42 ,1.70 ,4.80 ,0.35 ,2.50 ,5.20 ,0.49 ,0.50 ,1.00 ,1.40 ,0.73 ,0.30 ,2.80 ,3.10 ,2.20 ,1.00 ,0.50 ,1.50 ,1.90 ,11.00 ,9.70 
Grayson Allen,SG,4054695.00 ,25.00 ,MEM,50.00 ,38.00 ,25.20 ,3.50 ,8.30 ,0.42 ,2.10 ,5.50 ,0.39 ,1.30 ,2.80 ,0.47 ,0.55 ,1.60 ,1.80 ,0.87 ,0.40 ,2.80 ,3.20 ,2.20 ,0.90 ,0.20 ,1.00 ,1.40 ,10.60 ,10.70 
